parcel,address,2021_land,2021_building,2021_total,2020_land,2020_building,2020_total,lat,lng
016 H004001,74 St Lawrence St,306100.0,878400.0,1184500.0,106300.0,266000.0,372300.0,43.665089,-70.246734
000 O000001,0 A,107437200.0,3712300.0,111149500.0,107437200.0,3712300.0,111149500.0,43.652975,-70.277556
009 A013001,220 Anderson St,234400.0,904700.0,1139100.0,117100.0,354800.0,471900.0,43.669895,-70.256589
009 A016001,230 Anderson St,197700.0,430800.0,628500.0,112700.0,266500.0,379200.0,43.670266,-70.256736
009 A017001,226 Anderson St,200300.0,622900.0,823200.0,116400.0,199300.0,315700.0,43.670067,-70.256778
010 A008001,219 Anderson St,239800.0,1609300.0,1849100.0,119900.0,631600.0,751500.0,43.670271,-70.255943
010 A021001,197 Anderson St,258300.0,1022800.0,1281100.0,134100.0,355000.0,489100.0,43.669707,-70.255527
010 A026001,189 Anderson St,248600.0,138800.0,387400.0,177500.0,35900.0,213400.0,43.669186,-70.25558
010 E001001,184 Anderson St,259000.0,1635400.0,1894400.0,158500.0,649600.0,808100.0,43.669316,-70.256183
010 E002001,170 Anderson St,353800.0,2759100.0,3112900.0,221100.0,1425700.0,1646800.0,43.668745,-70.256163
010 G005001,175 Anderson St,263000.0,285900.0,548900.0,150200.0,251100.0,401300.0,43.668679,-70.25553
010 G006001,165 Anderson St,241700.0,0.0,241700.0,82000.0,372040.0,454040.0,43.668474,-70.255761
010 H005001,122 Anderson St,485800.0,316300.0,802100.0,242900.0,135600.0,378500.0,43.667696,-70.25705
012 A001001,117 Anderson St,522500.0,697300.0,1219800.0,344500.0,321700.0,666200.0,43.6669,-70.255464
012 A002001,107 Anderson St,270100.0,468000.0,738100.0,192900.0,234200.0,427100.0,43.666452,-70.255437
012 A003001,155 Anderson St,261700.0,559700.0,821400.0,130900.0,372200.0,503100.0,43.6679,-70.255454
012 A004001,131 Anderson St,331900.0,864900.0,1196800.0,77000.0,402600.0,479600.0,43.667373,-70.255309
012 A005001,145 Anderson St,59320.0,237280.0,296600.0,32300.0,129200.0,161500.0,43.667677,-70.255408
012 A005002,145 Anderson St,57940.0,231760.0,289700.0,31100.0,124300.0,155400.0,43.667677,-70.255408
012 A005003,145 Anderson St,62380.0,249520.0,311900.0,34900.0,139600.0,174500.0,43.667677,-70.255408
012 A005004,145 Anderson St,62380.0,249520.0,311900.0,34900.0,139600.0,174500.0,43.667677,-70.255408
012 A005006,145 Anderson St,63740.0,254960.0,318700.0,34500.0,138100.0,172600.0,43.667677,-70.255408
012 A005007,145 Anderson St,66100.0,264400.0,330500.0,37100.0,148500.0,185600.0,43.667677,-70.255408
012 A005008,145 Anderson St,66100.0,264400.0,330500.0,37100.0,148500.0,185600.0,43.667677,-70.255408
012 A009001,133 Anderson St,423900.0,565400.0,989300.0,69300.0,169200.0,238500.0,43.667244,-70.255202
012 I001001,89 Anderson St,260400.0,10852000.0,11112400.0,338100.0,3968600.0,4306700.0,43.666019,-70.255365
012 L001001,83 Anderson St,251900.0,259800.0,511700.0,63300.0,132300.0,195600.0,43.665697,-70.254928
012 L006001,79 Anderson St,252100.0,186200.0,438300.0,63400.0,62500.0,125900.0,43.665658,-70.254804
012 L007001,77 Anderson St,251900.0,279400.0,531300.0,63300.0,101000.0,164300.0,43.665542,-70.254744
012 L012001,73 Anderson St,230800.0,175200.0,406000.0,57700.0,61400.0,119100.0,43.665436,-70.254688
012 N003001,132 Anderson St,370300.0,1032300.0,1402600.0,211600.0,254900.0,466500.0,43.667329,-70.255994
012 N004001,114 Anderson St,203000.0,411100.0,614100.0,101500.0,279200.0,380700.0,43.666545,-70.255955
013 B001047,47 Anderson St,59360.0,237440.0,296800.0,28900.0,115600.0,144500.0,43.664791,-70.253797
013 D003001,27 Anderson St,243900.0,278800.0,522700.0,61200.0,111400.0,172600.0,43.664282,-70.253191
013 D005001,25 Anderson St,243000.0,340900.0,583900.0,61000.0,126200.0,187200.0,43.664208,-70.253087
